IP,timestamp,HTTP_method,request_path,status_code,content_length
192.168.1.1,2024-03-01 08:15:23,GET,/home,200,1024
192.168.1.2,2024-03-01 09:32:45,POST,/login,401,512
192.168.1.3,2024-03-01 10:05:12,PUT,/api/users,201,768
192.168.1.1,2024-03-01 10:45:32,GET,/dashboard,200,2048
192.168.1.4,2024-03-01 11:20:18,DELETE,/api/posts/123,204,0
192.168.1.2,2024-03-01 12:10:55,GET,/profile,200,1536
192.168.1.5,2024-03-01 13:05:42,POST,/api/comments,201,384
192.168.1.3,2024-03-01 14:22:31,GET,/search,200,1792
192.168.1.1,2024-03-01 15:17:19,PUT,/api/users/profile,200,640
192.168.1.6,2024-03-01 16:30:27,GET,/blog,200,3072
192.168.1.2,2024-03-01 17:45:38,POST,/api/login,401,512
192.168.1.4,2024-03-01 18:12:09,GET,/about,200,896
192.168.1.7,2024-03-01 19:05:54,GET,/products,200,2304
192.168.1.1,2024-03-01 20:20:33,DELETE,/api/cache,204,0
192.168.1.3,2024-03-01 21:35:47,POST,/api/orders,201,1024
192.168.1.5,2024-03-01 22:50:11,GET,/support,200,1280
192.168.1.2,2024-03-01 23:25:39,PUT,/api/preferences,200,512
192.168.1.8,2024-03-02 00:10:22,GET,/faq,200,1536
192.168.1.4,2024-03-02 01:30:15,POST,/api/feedback,201,768
192.168.1.1,2024-03-02 02:45:38,GET,/terms,200,2048
192.168.1.3,2024-03-02 03:20:54,GET,/privacy,200,1792
192.168.1.6,2024-03-02 04:15:29,POST,/api/subscribe,201,384
192.168.1.2,2024-03-02 05:40:17,GET,/contact,200,1024
192.168.1.5,2024-03-02 06:25:43,PUT,/api/notifications,200,640
192.168.1.1,2024-03-02 07:10:08,GET,/news,200,2816
